VerbAnalysis,CoreAnalysis,Person,Number,Tense,Mood,Voice,Gender,Case,PerseusType
urn:cite:hclat:verbAnalyses.214,urn:cite:hclat:analyses.1464,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.215,urn:cite:hclat:analyses.1472,3rd,singular,future,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.216,urn:cite:hclat:analyses.1473,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.217,urn:cite:hclat:analyses.1484,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.218,urn:cite:hclat:analyses.1484,3rd,singular,present,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.219,urn:cite:hclat:analyses.1485,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.220,urn:cite:hclat:analyses.1488,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.221,urn:cite:hclat:analyses.1491,3rd,singular,present,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.222,urn:cite:hclat:analyses.1492,,plural,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.223,urn:cite:hclat:analyses.1492,,plural,perfect,participle,passive,masculine,vocative,pp4
urn:cite:hclat:verbAnalyses.224,urn:cite:hclat:analyses.1492,,singular,perfect,participle,passive,masculine,genitive,pp4
