Location,Tags
"urn:cite:shot:epigimg.IMG_5795@0.357,0.296,0.151,0.1",urn:cite:hclat:topic.prep
"urn:cite:shot:epigimg.IMG_5795@0.491,0.2787,0.204,0.1",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5795@0.361,0.3853,0.093,0.0613",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5795@0.507,0.3547,0.159,0.0653",urn:cite:hclat:topic.prep
"urn:cite:shot:epigimg.IMG_5795@0.545,0.3547,0.121,0.0653",urn:cite:hclat:topic.ablsg2
"urn:cite:shot:epigimg.IMG_5795@0.649,0.352,0.039,0.0587",urn:cite:hclat:topic.prep
"urn:cite:shot:epigimg.IMG_5795@0.431,0.4147,0.115,0.0587",urn:cite:hclat:topic.ablsg2
"urn:cite:shot:epigimg.IMG_5795@0.53,0.4027,0.132,0.0587",urn:cite:hclat:topic.ablsg2
"urn:cite:shot:epigimg.IMG_5795@0.564,0.4347,0.123,0.0587",urn:cite:hclat:topic.ablsg2
"urn:cite:shot:epigimg.IMG_5795@0.366,0.504,0.127,0.06",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5795@0.486,0.488,0.074,0.06",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5795@0.553,0.468,0.137,0.0707",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5795@0.359,0.5507,0.082,0.056",urn:cite:hclat:topic.ablsg2
"urn:cite:shot:epigimg.IMG_5795@0.36,0.588,0.099,0.056",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5795@0.475,0.5507,0.129,0.0733",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5795@0.396,0.7773,0.232,0.104",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5795@0.396,0.7773,0.232,0.104",urn:cite:hclat:topic.supadj
"urn:cite:shot:epigimg.IMG_5795@0.406,0.8227,0.217,0.0973",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5795@0.406,0.8227,0.217,0.0973",urn:cite:hclat:topic.supadj
"urn:cite:shot:epigimg.IMG_5796@0.312,0.144,0.386,0.1293",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5796@0.196,0.2547,0.54,0.1853",urn:cite:hclat:topic.datsg3
"urn:cite:shot:epigimg.IMG_5796@0.196,0.2547,0.54,0.1853",urn:cite:hclat:topic.compadj
"urn:cite:shot:epigimg.IMG_5796@0.388,0.4187,0.178,0.0573",urn:cite:hclat:topic.datsg3
