urn:cite:shot:epigimg.IMG_8001,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_8002,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_8003,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_8004,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_8005,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_8006,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_8007,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_8008,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_8029,"Roman Forum, Arch of Titus","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_8039,"Arch of Constantine, main inscription","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_8040,"Arch of Constantine, interior inscription","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
